INTERNSHIP_ID,TITLE,COMPANY_NAME,REQUIRED_SKILLS,DOMAIN,ELIGIBILITY,LOCATION,DURATION,STIPEND,DESCRIPTION
1,"Trainee Engineer","L&T Infotech","Basic Computer Knowledge, MS Office, Communication","General Internship","12th Pass","Mumbai, India","4 weeks","₹15,000/month","A general internship for recent high school graduates to gain exposure to a professional work environment."
2,"Web Development Trainee","Tata Consultancy Services (TCS)","HTML, CSS, JavaScript","Web Development",Diploma,"Chennai, India","8 weeks","₹20,000/month","A hands-on training program for diploma students to work on real-world web projects and build foundational skills."
3,"Software Development Engineer Intern","Microsoft India","C++, C#, Java, Python, Algorithms, Data Structures, REST API, Git","Software Engineering","UG or PG","Hyderabad, India","12 weeks","₹70,000/month","Work on a team to design, develop, and test software solutions for Microsoft's products and services, gaining hands-on experience with large-scale systems."
4,"Data Science Intern","Google India","Python, R, SQL, Pandas, NumPy, Scikit-learn, Machine Learning, TensorFlow","Data Science & AI",PG,"Bengaluru, India","10-12 weeks","₹85,000/month","Collaborate with data scientists and engineers on real-world problems. Analyze large datasets to extract insights, build predictive models, and contribute to research."
5,"Front-End Developer Intern","Meta India","React, JavaScript, HTML, CSS, Next.js, UI/UX, Git, GraphQL","Web Development","UG or PG","Gurgaon, India","12 weeks","₹80,000/month","Build and improve user interfaces for Facebook, Instagram, or WhatsApp. Work with a cross-functional team to create new features and optimize existing ones."
6,"Cloud Solutions Intern","Amazon Web Services (AWS) India","AWS, Docker, Kubernetes, Python, Linux, Microservices, CI/CD, Go, Terraform","Cloud Computing & DevOps",UG,"Bengaluru, India","16 weeks","₹75,000/month","Assist in designing and implementing cloud solutions for internal and external customers. Gain hands-on experience with core AWS services, containerization, and automation."
7,"Cybersecurity Analyst Intern","Palo Alto Networks India","Cybersecurity, Ethical Hacking, Penetration Testing, Python, Linux, Cryptography, Computer Networks",Cybersecurity,"UG or PG","Bengaluru, India","12 weeks","₹65,000/month","Participate in vulnerability assessments and penetration testing of applications and networks. Help in analyzing security logs and incident response."
8,"Blockchain Developer Intern",Wipro,"Blockchain, Solidity, Web3, JavaScript, Node.js, Ethereum, REST API","Blockchain & Web3","UG or PG","Pune, India","8 weeks","₹40,000/month","Work on developing smart contracts and decentralized applications (DApps) on the Ethereum network. Contribute to open-source projects and research new blockchain technologies."
9,"Mobile App Developer Intern","Uber India","Kotlin, Swift, Java, Android, iOS, REST API, JSON, Git","Mobile Development","UG or PG","Hyderabad, India","12 weeks","₹70,000/month","Join a mobile team to work on features for the Uber rider or driver app. Gain experience in a fast-paced environment with a focus on performance and user experience."
10,"Machine Learning Engineer Intern","NVIDIA India","Python, PyTorch, TensorFlow, Deep Learning, Machine Learning, Computer Vision, CUDA","Artificial Intelligence",PG,"Pune, India","12 weeks","₹85,000/month","Assist in the research and development of new algorithms for machine learning and deep learning. Optimize models for deployment on NVIDIA hardware."
